"Step","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX"
"1","71.40000000000002","71.40000000000002","71.40000000000002","71","71","71","71.90300000000002","71.90300000000002","71.90300000000002","0","0","0","0","0","0","0","0","0","83.845","83.845","83.845","84.295","84.295","84.295","85.46899999999998","85.46899999999998","85.46899999999998","75.59999999999998","75.59999999999998","75.59999999999998","76.2","76.2","76.2","74.36800000000001","74.36800000000001","74.36800000000001"
"2","85.4","85.4","85.4","80.40000000000002","80.40000000000002","80.40000000000002","83.29","83.29","83.29","0","0","0","0","0","0","0","0","0","89.60199999999999","89.60199999999999","89.60199999999999","89.61199999999998","89.61199999999998","89.61199999999998","89.57199999999999","89.57199999999999","89.57199999999999","88.6","88.6","88.6","88.1","88.1","88.1","85.46800000000002","85.46800000000002","85.46800000000002"
"3","87.7","87.7","87.7","83.9","83.9","83.9","86.29399999999998","86.29399999999998","86.29399999999998","0","0","0","0","0","0","0","0","0","89.85899999999998","89.85899999999998","89.85899999999998","89.85399999999998","89.85399999999998","89.85399999999998","89.85300000000001","89.85300000000001","89.85300000000001","88.4","88.4","88.4","87.8","87.8","87.8","86.38","86.38","86.38"
"4","84.4","84.4","84.4","82.7","82.7","82.7","85.775","85.775","85.775","0","0","0","0","0","0","0","0","0","89.87","89.87","89.87","89.86199999999998","89.86199999999998","89.86199999999998","89.84399999999998","89.84399999999998","89.84399999999998","88.2","88.2","88.2","87.3","87.3","87.3","86.09399999999998","86.09399999999998","86.09399999999998"
"5","84.6","84.6","84.6","82.7","82.7","82.7","85.49699999999999","85.49699999999999","85.49699999999999","0","0","0","0","0","0","0","0","0","89.86100000000002","89.86100000000002","89.86100000000002","89.86699999999999","89.86699999999999","89.86699999999999","89.84300000000002","89.84300000000002","89.84300000000002","88.3","88.3","88.3","87.3","87.3","87.3","86.27899999999998","86.27899999999998","86.27899999999998"
"6","85.7","85.7","85.7","82.5","82.5","82.5","85.17699999999999","85.17699999999999","85.17699999999999","0","0","0","0","0","0","0","0","0","89.85100000000001","89.85100000000001","89.85100000000001","89.85699999999999","89.85699999999999","89.85699999999999","89.83199999999998","89.83199999999998","89.83199999999998","88.1","88.1","88.1","87.4","87.4","87.4","85.51800000000001","85.51800000000001","85.51800000000001"
"7","83.8","83.8","83.8","83.3","83.3","83.3","85.47100000000002","85.47100000000002","85.47100000000002","0","0","0","0","0","0","0","0","0","89.84199999999998","89.84199999999998","89.84199999999998","89.84899999999999","89.84899999999999","89.84899999999999","89.83100000000002","89.83100000000002","89.83100000000002","88.4","88.4","88.4","87.4","87.4","87.4","85.97","85.97","85.97"
"8","86.2","86.2","86.2","81","81","81","85.36399999999999","85.36399999999999","85.36399999999999","0","0","0","0","0","0","0","0","0","89.83800000000001","89.83800000000001","89.83800000000001","89.84800000000001","89.84800000000001","89.84800000000001","89.82300000000001","89.82300000000001","89.82300000000001","88.5","88.5","88.5","87.7","87.7","87.7","85.56800000000001","85.56800000000001","85.56800000000001"
"9","84.6","84.6","84.6","82.3","82.3","82.3","85.66699999999999","85.66699999999999","85.66699999999999","0","0","0","0","0","0","0","0","0","89.82699999999998","89.82699999999998","89.82699999999998","89.84","89.84","89.84","89.82199999999999","89.82199999999999","89.82199999999999","88.5","88.5","88.5","87.5","87.5","87.5","86.06600000000002","86.06600000000002","86.06600000000002"
"10","83.2","83.2","83.2","82.1","82.1","82.1","85.53100000000002","85.53100000000002","85.53100000000002","0","0","0","0","0","0","0","0","0","89.81699999999998","89.81699999999998","89.81699999999998","89.83300000000001","89.83300000000001","89.83300000000001","89.81699999999998","89.81699999999998","89.81699999999998","88.7","88.7","88.7","87.5","87.5","87.5","86.47800000000001","86.47800000000001","86.47800000000001"
