"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"175","0.353","0.353","0.353","0.283","0.283","0.283","0.371","0.371","0.371","0.816","0.816","0.816","0.77","0.77","0.77","0.533","0.533","0.533","0.791","0.791","0.791","0.806","0.806","0.806","0.725","0.725","0.725","0.611","0.611","0.611","0.585","0.585","0.585","0.465","0.465","0.465"
"176","0.32","0.32","0.32","0.298","0.298","0.298","0.51","0.51","0.51","0.828","0.828","0.828","0.816","0.816","0.816","0.489","0.489","0.489","0.828","0.828","0.828","0.806","0.806","0.806","0.635","0.635","0.635","0.599","0.599","0.599","0.614","0.614","0.614","0.359","0.359","0.359"
"177","0.379","0.379","0.379","0.206","0.206","0.206","0.416","0.416","0.416","0.789","0.789","0.789","0.766","0.766","0.766","0.587","0.587","0.587","0.784","0.784","0.784","0.772","0.772","0.772","0.7","0.7","0.7","0.581","0.581","0.581","0.563","0.563","0.563","0.379","0.379","0.379"
"178","0.379","0.379","0.379","0.292","0.292","0.292","0.36","0.36","0.36","0.816","0.816","0.816","0.781","0.781","0.781","0.563","0.563","0.563","0.844","0.844","0.844","0.762","0.762","0.762","0.749","0.749","0.749","0.615","0.615","0.615","0.555","0.555","0.555","0.43","0.43","0.43"
"179","0.347","0.347","0.347","0.287","0.287","0.287","0.327","0.327","0.327","0.811","0.811","0.811","0.782","0.782","0.782","0.603","0.603","0.603","0.812","0.812","0.812","0.758","0.758","0.758","0.648","0.648","0.648","0.589","0.589","0.589","0.573","0.573","0.573","0.24","0.24","0.24"
"180","0.359","0.359","0.359","0.21","0.21","0.21","0.445","0.445","0.445","0.825","0.825","0.825","0.78","0.78","0.78","0.571","0.571","0.571","0.815","0.815","0.815","0.792","0.792","0.792","0.623","0.623","0.623","0.592","0.592","0.592","0.591","0.591","0.591","0.355","0.355","0.355"
"181","0.374","0.374","0.374","0.295","0.295","0.295","0.45","0.45","0.45","0.828","0.828","0.828","0.767","0.767","0.767","0.579","0.579","0.579","0.816","0.816","0.816","0.767","0.767","0.767","0.554","0.554","0.554","0.611","0.611","0.611","0.583","0.583","0.583","0.27","0.27","0.27"
"182","0.38","0.38","0.38","0.268","0.268","0.268","0.347","0.347","0.347","0.84","0.84","0.84","0.805","0.805","0.805","0.685","0.685","0.685","0.836","0.836","0.836","0.811","0.811","0.811","0.621","0.621","0.621","0.611","0.611","0.611","0.65","0.65","0.65","0.347","0.347","0.347"
"183","0.372","0.372","0.372","0.302","0.302","0.302","0.36","0.36","0.36","0.826","0.826","0.826","0.721","0.721","0.721","0.739","0.739","0.739","0.822","0.822","0.822","0.718","0.718","0.718","0.728","0.728","0.728","0.6","0.6","0.6","0.587","0.587","0.587","0.45","0.45","0.45"
"184","0.358","0.358","0.358","0.343","0.343","0.343","0.504","0.504","0.504","0.818","0.818","0.818","0.781","0.781","0.781","0.646","0.646","0.646","0.798","0.798","0.798","0.757","0.757","0.757","0.582","0.582","0.582","0.587","0.587","0.587","0.487","0.487","0.487","0.245","0.245","0.245"
"185","0.356","0.356","0.356","0.368","0.368","0.368","0.336","0.336","0.336","0.801","0.801","0.801","0.767","0.767","0.767","0.571","0.571","0.571","0.806","0.806","0.806","0.81","0.81","0.81","0.658","0.658","0.658","0.606","0.606","0.606","0.607","0.607","0.607","0.315","0.315","0.315"
"186","0.389","0.389","0.389","0.323","0.323","0.323","0.355","0.355","0.355","0.83","0.83","0.83","0.777","0.777","0.777","0.6","0.6","0.6","0.831","0.831","0.831","0.77","0.77","0.77","0.742","0.742","0.742","0.624","0.624","0.624","0.594","0.594","0.594","0.458","0.458","0.458"
"187","0.383","0.383","0.383","0.372","0.372","0.372","0.429","0.429","0.429","0.806","0.806","0.806","0.788","0.788","0.788","0.562","0.562","0.562","0.823","0.823","0.823","0.799","0.799","0.799","0.688","0.688","0.688","0.618","0.618","0.618","0.591","0.591","0.591","0.232","0.232","0.232"
"188","0.373","0.373","0.373","0.233","0.233","0.233","0.305","0.305","0.305","0.826","0.826","0.826","0.797","0.797","0.797","0.709","0.709","0.709","0.824","0.824","0.824","0.838","0.838","0.838","0.717","0.717","0.717","0.608","0.608","0.608","0.643","0.643","0.643","0.416","0.416","0.416"
"189","0.447","0.447","0.447","0.356","0.356","0.356","0.35","0.35","0.35","0.839","0.839","0.839","0.773","0.773","0.773","0.733","0.733","0.733","0.829","0.829","0.829","0.751","0.751","0.751","0.631","0.631","0.631","0.585","0.585","0.585","0.533","0.533","0.533","0.246","0.246","0.246"
"190","0.398","0.398","0.398","0.371","0.371","0.371","0.323","0.323","0.323","0.81","0.81","0.81","0.779","0.779","0.779","0.48","0.48","0.48","0.807","0.807","0.807","0.78","0.78","0.78","0.7","0.7","0.7","0.612","0.612","0.612","0.602","0.602","0.602","0.356","0.356","0.356"
"191","0.416","0.416","0.416","0.339","0.339","0.339","0.286","0.286","0.286","0.833","0.833","0.833","0.779","0.779","0.779","0.669","0.669","0.669","0.83","0.83","0.83","0.807","0.807","0.807","0.671","0.671","0.671","0.598","0.598","0.598","0.536","0.536","0.536","0.348","0.348","0.348"
"192","0.423","0.423","0.423","0.283","0.283","0.283","0.422","0.422","0.422","0.814","0.814","0.814","0.778","0.778","0.778","0.677","0.677","0.677","0.836","0.836","0.836","0.734","0.734","0.734","0.611","0.611","0.611","0.593","0.593","0.593","0.56","0.56","0.56","0.357","0.357","0.357"
"193","0.408","0.408","0.408","0.293","0.293","0.293","0.423","0.423","0.423","0.844","0.844","0.844","0.784","0.784","0.784","0.578","0.578","0.578","0.795","0.795","0.795","0.786","0.786","0.786","0.706","0.706","0.706","0.593","0.593","0.593","0.623","0.623","0.623","0.413","0.413","0.413"
"194","0.398","0.398","0.398","0.314","0.314","0.314","0.407","0.407","0.407","0.824","0.824","0.824","0.765","0.765","0.765","0.604","0.604","0.604","0.834","0.834","0.834","0.783","0.783","0.783","0.738","0.738","0.738","0.615","0.615","0.615","0.575","0.575","0.575","0.412","0.412","0.412"
"195","0.429","0.429","0.429","0.311","0.311","0.311","0.331","0.331","0.331","0.817","0.817","0.817","0.82","0.82","0.82","0.622","0.622","0.622","0.778","0.778","0.778","0.811","0.811","0.811","0.704","0.704","0.704","0.592","0.592","0.592","0.659","0.659","0.659","0.375","0.375","0.375"
"196","0.419","0.419","0.419","0.299","0.299","0.299","0.425","0.425","0.425","0.826","0.826","0.826","0.81","0.81","0.81","0.63","0.63","0.63","0.831","0.831","0.831","0.788","0.788","0.788","0.7","0.7","0.7","0.626","0.626","0.626","0.627","0.627","0.627","0.421","0.421","0.421"
"197","0.435","0.435","0.435","0.381","0.381","0.381","0.461","0.461","0.461","0.831","0.831","0.831","0.802","0.802","0.802","0.595","0.595","0.595","0.811","0.811","0.811","0.787","0.787","0.787","0.634","0.634","0.634","0.611","0.611","0.611","0.573","0.573","0.573","0.425","0.425","0.425"
"198","0.42","0.42","0.42","0.345","0.345","0.345","0.368","0.368","0.368","0.819","0.819","0.819","0.785","0.785","0.785","0.679","0.679","0.679","0.785","0.785","0.785","0.801","0.801","0.801","0.662","0.662","0.662","0.561","0.561","0.561","0.633","0.633","0.633","0.343","0.343","0.343"
"199","0.454","0.454","0.454","0.289","0.289","0.289","0.39","0.39","0.39","0.821","0.821","0.821","0.797","0.797","0.797","0.63","0.63","0.63","0.802","0.802","0.802","0.791","0.791","0.791","0.647","0.647","0.647","0.614","0.614","0.614","0.606","0.606","0.606","0.35","0.35","0.35"
"200","0.429","0.429","0.429","0.374","0.374","0.374","0.444","0.444","0.444","0.838","0.838","0.838","0.777","0.777","0.777","0.653","0.653","0.653","0.802","0.802","0.802","0.806","0.806","0.806","0.768","0.768","0.768","0.611","0.611","0.611","0.606","0.606","0.606","0.456","0.456","0.456"
"201","0.394","0.394","0.394","0.365","0.365","0.365","0.439","0.439","0.439","0.819","0.819","0.819","0.786","0.786","0.786","0.587","0.587","0.587","0.808","0.808","0.808","0.778","0.778","0.778","0.657","0.657","0.657","0.634","0.634","0.634","0.609","0.609","0.609","0.413","0.413","0.413"
"202","0.447","0.447","0.447","0.37","0.37","0.37","0.398","0.398","0.398","0.811","0.811","0.811","0.798","0.798","0.798","0.661","0.661","0.661","0.787","0.787","0.787","0.811","0.811","0.811","0.649","0.649","0.649","0.62","0.62","0.62","0.613","0.613","0.613","0.264","0.264","0.264"
"203","0.441","0.441","0.441","0.379","0.379","0.379","0.386","0.386","0.386","0.824","0.824","0.824","0.766","0.766","0.766","0.574","0.574","0.574","0.796","0.796","0.796","0.766","0.766","0.766","0.669","0.669","0.669","0.61","0.61","0.61","0.596","0.596","0.596","0.374","0.374","0.374"
"204","0.424","0.424","0.424","0.382","0.382","0.382","0.348","0.348","0.348","0.837","0.837","0.837","0.784","0.784","0.784","0.737","0.737","0.737","0.835","0.835","0.835","0.795","0.795","0.795","0.63","0.63","0.63","0.646","0.646","0.646","0.664","0.664","0.664","0.3","0.3","0.3"
"205","0.419","0.419","0.419","0.346","0.346","0.346","0.562","0.562","0.562","0.835","0.835","0.835","0.83","0.83","0.83","0.61","0.61","0.61","0.825","0.825","0.825","0.822","0.822","0.822","0.796","0.796","0.796","0.622","0.622","0.622","0.65","0.65","0.65","0.447","0.447","0.447"
"206","0.44","0.44","0.44","0.359","0.359","0.359","0.505","0.505","0.505","0.835","0.835","0.835","0.792","0.792","0.792","0.659","0.659","0.659","0.801","0.801","0.801","0.778","0.778","0.778","0.615","0.615","0.615","0.592","0.592","0.592","0.598","0.598","0.598","0.303","0.303","0.303"
"207","0.421","0.421","0.421","0.331","0.331","0.331","0.455","0.455","0.455","0.815","0.815","0.815","0.803","0.803","0.803","0.672","0.672","0.672","0.822","0.822","0.822","0.805","0.805","0.805","0.699","0.699","0.699","0.613","0.613","0.613","0.638","0.638","0.638","0.244","0.244","0.244"
"208","0.443","0.443","0.443","0.294","0.294","0.294","0.469","0.469","0.469","0.799","0.799","0.799","0.824","0.824","0.824","0.672","0.672","0.672","0.82","0.82","0.82","0.765","0.765","0.765","0.606","0.606","0.606","0.6","0.6","0.6","0.635","0.635","0.635","0.258","0.258","0.258"
"209","0.382","0.382","0.382","0.342","0.342","0.342","0.405","0.405","0.405","0.816","0.816","0.816","0.803","0.803","0.803","0.685","0.685","0.685","0.843","0.843","0.843","0.787","0.787","0.787","0.683","0.683","0.683","0.61","0.61","0.61","0.656","0.656","0.656","0.399","0.399","0.399"
"210","0.466","0.466","0.466","0.364","0.364","0.364","0.454","0.454","0.454","0.842","0.842","0.842","0.807","0.807","0.807","0.711","0.711","0.711","0.797","0.797","0.797","0.824","0.824","0.824","0.73","0.73","0.73","0.612","0.612","0.612","0.64","0.64","0.64","0.421","0.421","0.421"
"211","0.439","0.439","0.439","0.345","0.345","0.345","0.463","0.463","0.463","0.835","0.835","0.835","0.798","0.798","0.798","0.652","0.652","0.652","0.825","0.825","0.825","0.793","0.793","0.793","0.683","0.683","0.683","0.625","0.625","0.625","0.648","0.648","0.648","0.308","0.308","0.308"
"212","0.396","0.396","0.396","0.391","0.391","0.391","0.498","0.498","0.498","0.829","0.829","0.829","0.79","0.79","0.79","0.539","0.539","0.539","0.825","0.825","0.825","0.759","0.759","0.759","0.755","0.755","0.755","0.617","0.617","0.617","0.581","0.581","0.581","0.352","0.352","0.352"
"213","0.42","0.42","0.42","0.432","0.432","0.432","0.526","0.526","0.526","0.843","0.843","0.843","0.772","0.772","0.772","0.706","0.706","0.706","0.83","0.83","0.83","0.783","0.783","0.783","0.652","0.652","0.652","0.647","0.647","0.647","0.623","0.623","0.623","0.345","0.345","0.345"
"214","0.479","0.479","0.479","0.421","0.421","0.421","0.361","0.361","0.361","0.842","0.842","0.842","0.814","0.814","0.814","0.678","0.678","0.678","0.794","0.794","0.794","0.821","0.821","0.821","0.726","0.726","0.726","0.638","0.638","0.638","0.647","0.647","0.647","0.327","0.327","0.327"
"215","0.445","0.445","0.445","0.354","0.354","0.354","0.467","0.467","0.467","0.836","0.836","0.836","0.8","0.8","0.8","0.62","0.62","0.62","0.817","0.817","0.817","0.812","0.812","0.812","0.699","0.699","0.699","0.618","0.618","0.618","0.662","0.662","0.662","0.4","0.4","0.4"
"216","0.461","0.461","0.461","0.24","0.24","0.24","0.43","0.43","0.43","0.855","0.855","0.855","0.758","0.758","0.758","0.665","0.665","0.665","0.841","0.841","0.841","0.765","0.765","0.765","0.618","0.618","0.618","0.635","0.635","0.635","0.599","0.599","0.599","0.406","0.406","0.406"
"217","0.432","0.432","0.432","0.391","0.391","0.391","0.413","0.413","0.413","0.791","0.791","0.791","0.797","0.797","0.797","0.663","0.663","0.663","0.82","0.82","0.82","0.819","0.819","0.819","0.621","0.621","0.621","0.649","0.649","0.649","0.651","0.651","0.651","0.284","0.284","0.284"
"218","0.446","0.446","0.446","0.391","0.391","0.391","0.478","0.478","0.478","0.82","0.82","0.82","0.817","0.817","0.817","0.649","0.649","0.649","0.825","0.825","0.825","0.784","0.784","0.784","0.682","0.682","0.682","0.649","0.649","0.649","0.619","0.619","0.619","0.286","0.286","0.286"
"219","0.447","0.447","0.447","0.387","0.387","0.387","0.46","0.46","0.46","0.818","0.818","0.818","0.79","0.79","0.79","0.624","0.624","0.624","0.841","0.841","0.841","0.787","0.787","0.787","0.757","0.757","0.757","0.622","0.622","0.622","0.653","0.653","0.653","0.414","0.414","0.414"
"220","0.442","0.442","0.442","0.3914","0.3914","0.3914","0.465","0.465","0.465","0.821","0.821","0.821","0.793","0.793","0.793","0.666","0.666","0.666","0.816","0.816","0.816","0.782","0.782","0.782","0.744","0.744","0.744","0.633","0.633","0.633","0.635","0.635","0.635","0.43","0.43","0.43"
"221","0.44","0.44","0.44","0.416","0.416","0.416","0.404","0.404","0.404","0.822","0.822","0.822","0.803","0.803","0.803","0.682","0.682","0.682","0.818","0.818","0.818","0.807","0.807","0.807","0.751","0.751","0.751","0.64","0.64","0.64","0.638","0.638","0.638","0.389","0.389","0.389"
"222","0.436","0.436","0.436","0.416","0.416","0.416","0.3","0.3","0.3","0.827","0.827","0.827","0.826","0.826","0.826","0.677","0.677","0.677","0.796","0.796","0.796","0.814","0.814","0.814","0.656","0.656","0.656","0.656","0.656","0.656","0.664","0.664","0.664","0.328","0.328","0.328"
"223","0.494","0.494","0.494","0.417","0.417","0.417","0.512","0.512","0.512","0.824","0.824","0.824","0.778","0.778","0.778","0.607","0.607","0.607","0.808","0.808","0.808","0.778","0.778","0.778","0.787","0.787","0.787","0.65","0.65","0.65","0.558","0.558","0.558","0.515","0.515","0.515"
"224","0.433","0.433","0.433","0.492","0.492","0.492","0.463","0.463","0.463","0.839","0.839","0.839","0.803","0.803","0.803","0.703","0.703","0.703","0.795","0.795","0.795","0.744","0.744","0.744","0.744","0.744","0.744","0.625","0.625","0.625","0.617","0.617","0.617","0.384","0.384","0.384"
"225","0.448","0.448","0.448","0.364","0.364","0.364","0.578","0.578","0.578","0.854","0.854","0.854","0.791","0.791","0.791","0.693","0.693","0.693","0.83","0.83","0.83","0.796","0.796","0.796","0.742","0.742","0.742","0.624","0.624","0.624","0.63","0.63","0.63","0.434","0.434","0.434"
"226","0.459","0.459","0.459","0.388","0.388","0.388","0.538","0.538","0.538","0.831","0.831","0.831","0.814","0.814","0.814","0.719","0.719","0.719","0.847","0.847","0.847","0.812","0.812","0.812","0.763","0.763","0.763","0.665","0.665","0.665","0.648","0.648","0.648","0.436","0.436","0.436"
"227","0.465","0.465","0.465","0.463","0.463","0.463","0.581","0.581","0.581","0.829","0.829","0.829","0.753","0.753","0.753","0.597","0.597","0.597","0.817","0.817","0.817","0.785","0.785","0.785","0.603","0.603","0.603","0.661","0.661","0.661","0.62","0.62","0.62","0.349","0.349","0.349"
"228","0.471","0.471","0.471","0.408","0.408","0.408","0.395","0.395","0.395","0.824","0.824","0.824","0.836","0.836","0.836","0.75","0.75","0.75","0.82","0.82","0.82","0.817","0.817","0.817","0.714","0.714","0.714","0.656","0.656","0.656","0.692","0.692","0.692","0.442","0.442","0.442"
"229","0.433","0.433","0.433","0.417","0.417","0.417","0.514","0.514","0.514","0.841","0.841","0.841","0.838","0.838","0.838","0.711","0.711","0.711","0.82","0.82","0.82","0.782","0.782","0.782","0.658","0.658","0.658","0.643","0.643","0.643","0.669","0.669","0.669","0.334","0.334","0.334"
"230","0.468","0.468","0.468","0.425","0.425","0.425","0.531","0.531","0.531","0.839","0.839","0.839","0.828","0.828","0.828","0.696","0.696","0.696","0.794","0.794","0.794","0.771","0.771","0.771","0.712","0.712","0.712","0.637","0.637","0.637","0.657","0.657","0.657","0.388","0.388","0.388"
"231","0.41","0.41","0.41","0.378","0.378","0.378","0.383","0.383","0.383","0.839","0.839","0.839","0.799","0.799","0.799","0.674","0.674","0.674","0.803","0.803","0.803","0.781","0.781","0.781","0.676","0.676","0.676","0.644","0.644","0.644","0.551","0.551","0.551","0.384","0.384","0.384"
"232","0.469","0.469","0.469","0.471","0.471","0.471","0.502","0.502","0.502","0.826","0.826","0.826","0.805","0.805","0.805","0.727","0.727","0.727","0.836","0.836","0.836","0.813","0.813","0.813","0.548","0.548","0.548","0.643","0.643","0.643","0.654","0.654","0.654","0.274","0.274","0.274"
"233","0.476","0.476","0.476","0.4","0.4","0.4","0.515","0.515","0.515","0.823","0.823","0.823","0.769","0.769","0.769","0.705","0.705","0.705","0.801","0.801","0.801","0.79","0.79","0.79","0.755","0.755","0.755","0.644","0.644","0.644","0.576","0.576","0.576","0.424","0.424","0.424"
"234","0.438","0.438","0.438","0.493","0.493","0.493","0.424","0.424","0.424","0.818","0.818","0.818","0.816","0.816","0.816","0.737","0.737","0.737","0.841","0.841","0.841","0.805","0.805","0.805","0.673","0.673","0.673","0.629","0.629","0.629","0.666","0.666","0.666","0.369","0.369","0.369"
"235","0.462","0.462","0.462","0.346","0.346","0.346","0.513","0.513","0.513","0.833","0.833","0.833","0.803","0.803","0.803","0.636","0.636","0.636","0.831","0.831","0.831","0.779","0.779","0.779","0.749","0.749","0.749","0.692","0.692","0.692","0.665","0.665","0.665","0.42","0.42","0.42"
"236","0.46","0.46","0.46","0.446","0.446","0.446","0.414","0.414","0.414","0.84","0.84","0.84","0.785","0.785","0.785","0.728","0.728","0.728","0.796","0.796","0.796","0.75","0.75","0.75","0.709","0.709","0.709","0.655","0.655","0.655","0.63","0.63","0.63","0.479","0.479","0.479"
"237","0.495","0.495","0.495","0.379","0.379","0.379","0.331","0.331","0.331","0.813","0.813","0.813","0.842","0.842","0.842","0.616","0.616","0.616","0.84","0.84","0.84","0.83","0.83","0.83","0.774","0.774","0.774","0.661","0.661","0.661","0.683","0.683","0.683","0.525","0.525","0.525"
"238","0.423","0.423","0.423","0.42","0.42","0.42","0.47","0.47","0.47","0.849","0.849","0.849","0.823","0.823","0.823","0.697","0.697","0.697","0.843","0.843","0.843","0.808","0.808","0.808","0.657","0.657","0.657","0.643","0.643","0.643","0.668","0.668","0.668","0.391","0.391","0.391"
"239","0.484","0.484","0.484","0.454","0.454","0.454","0.365","0.365","0.365","0.844","0.844","0.844","0.786","0.786","0.786","0.753","0.753","0.753","0.82","0.82","0.82","0.79","0.79","0.79","0.614","0.614","0.614","0.65","0.65","0.65","0.578","0.578","0.578","0.29","0.29","0.29"
"240","0.449","0.449","0.449","0.455","0.455","0.455","0.45","0.45","0.45","0.845","0.845","0.845","0.795","0.795","0.795","0.628","0.628","0.628","0.818","0.818","0.818","0.79","0.79","0.79","0.686","0.686","0.686","0.668","0.668","0.668","0.672","0.672","0.672","0.369","0.369","0.369"
"241","0.435","0.435","0.435","0.448","0.448","0.448","0.514","0.514","0.514","0.817","0.817","0.817","0.804","0.804","0.804","0.616","0.616","0.616","0.859","0.859","0.859","0.83","0.83","0.83","0.692","0.692","0.692","0.666","0.666","0.666","0.69","0.69","0.69","0.37","0.37","0.37"
"242","0.471","0.471","0.471","0.418","0.418","0.418","0.391","0.391","0.391","0.825","0.825","0.825","0.78","0.78","0.78","0.707","0.707","0.707","0.825","0.825","0.825","0.786","0.786","0.786","0.634","0.634","0.634","0.644","0.644","0.644","0.637","0.637","0.637","0.39","0.39","0.39"
"243","0.494","0.494","0.494","0.383","0.383","0.383","0.592","0.592","0.592","0.835","0.835","0.835","0.833","0.833","0.833","0.665","0.665","0.665","0.802","0.802","0.802","0.838","0.838","0.838","0.726","0.726","0.726","0.654","0.654","0.654","0.695","0.695","0.695","0.482","0.482","0.482"
"244","0.521","0.521","0.521","0.438","0.438","0.438","0.506","0.506","0.506","0.846","0.846","0.846","0.844","0.844","0.844","0.531","0.531","0.531","0.814","0.814","0.814","0.82","0.82","0.82","0.723","0.723","0.723","0.633","0.633","0.633","0.695","0.695","0.695","0.387","0.387","0.387"
"245","0.461","0.461","0.461","0.492","0.492","0.492","0.468","0.468","0.468","0.836","0.836","0.836","0.817","0.817","0.817","0.757","0.757","0.757","0.814","0.814","0.814","0.798","0.798","0.798","0.635","0.635","0.635","0.67","0.67","0.67","0.671","0.671","0.671","0.401","0.401","0.401"
"246","0.483","0.483","0.483","0.303","0.303","0.303","0.554","0.554","0.554","0.836","0.836","0.836","0.782","0.782","0.782","0.686","0.686","0.686","0.835","0.835","0.835","0.777","0.777","0.777","0.731","0.731","0.731","0.679","0.679","0.679","0.653","0.653","0.653","0.467","0.467","0.467"
"247","0.508","0.508","0.508","0.481","0.481","0.481","0.38","0.38","0.38","0.828","0.828","0.828","0.816","0.816","0.816","0.752","0.752","0.752","0.821","0.821","0.821","0.826","0.826","0.826","0.824","0.824","0.824","0.679","0.679","0.679","0.654","0.654","0.654","0.523","0.523","0.523"
"248","0.494","0.494","0.494","0.531","0.531","0.531","0.578","0.578","0.578","0.828","0.828","0.828","0.809","0.809","0.809","0.735","0.735","0.735","0.835","0.835","0.835","0.789","0.789","0.789","0.76","0.76","0.76","0.673","0.673","0.673","0.684","0.684","0.684","0.476","0.476","0.476"
"249","0.5","0.5","0.5","0.467","0.467","0.467","0.522","0.522","0.522","0.824","0.824","0.824","0.789","0.789","0.789","0.505","0.505","0.505","0.835","0.835","0.835","0.735","0.735","0.735","0.644","0.644","0.644","0.676","0.676","0.676","0.667","0.667","0.667","0.291","0.291","0.291"
"250","0.511","0.511","0.511","0.535","0.535","0.535","0.535","0.535","0.535","0.84","0.84","0.84","0.818","0.818","0.818","0.691","0.691","0.691","0.806","0.806","0.806","0.78","0.78","0.78","0.74","0.74","0.74","0.684","0.684","0.684","0.678","0.678","0.678","0.442","0.442","0.442"
"251","0.48","0.48","0.48","0.459","0.459","0.459","0.532","0.532","0.532","0.813","0.813","0.813","0.832","0.832","0.832","0.72","0.72","0.72","0.802","0.802","0.802","0.817","0.817","0.817","0.777","0.777","0.777","0.672","0.672","0.672","0.663","0.663","0.663","0.37","0.37","0.37"
"252","0.483","0.483","0.483","0.508","0.508","0.508","0.542","0.542","0.542","0.826","0.826","0.826","0.83","0.83","0.83","0.656","0.656","0.656","0.852","0.852","0.852","0.82","0.82","0.82","0.744","0.744","0.744","0.675","0.675","0.675","0.711","0.711","0.711","0.489","0.489","0.489"
"253","0.467","0.467","0.467","0.506","0.506","0.506","0.475","0.475","0.475","0.825","0.825","0.825","0.812","0.812","0.812","0.697","0.697","0.697","0.802","0.802","0.802","0.799","0.799","0.799","0.674","0.674","0.674","0.672","0.672","0.672","0.675","0.675","0.675","0.343","0.343","0.343"
"254","0.504","0.504","0.504","0.418","0.418","0.418","0.445","0.445","0.445","0.847","0.847","0.847","0.787","0.787","0.787","0.68","0.68","0.68","0.833","0.833","0.833","0.782","0.782","0.782","0.654","0.654","0.654","0.665","0.665","0.665","0.587","0.587","0.587","0.327","0.327","0.327"
"255","0.493","0.493","0.493","0.47","0.47","0.47","0.594","0.594","0.594","0.851","0.851","0.851","0.804","0.804","0.804","0.689","0.689","0.689","0.809","0.809","0.809","0.755","0.755","0.755","0.701","0.701","0.701","0.66","0.66","0.66","0.648","0.648","0.648","0.46","0.46","0.46"
"256","0.456","0.456","0.456","0.482","0.482","0.482","0.518","0.518","0.518","0.842","0.842","0.842","0.799","0.799","0.799","0.628","0.628","0.628","0.832","0.832","0.832","0.802","0.802","0.802","0.634","0.634","0.634","0.677","0.677","0.677","0.622","0.622","0.622","0.33","0.33","0.33"
