"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"11","0.109","0.109","0.109","0.068","0.068","0.068","0.103","0.103","0.103","0.307","0.307","0.307","0.183","0.183","0.183","0.109","0.109","0.109","0.39","0.39","0.39","0.226","0.226","0.226","0.074","0.074","0.074","0.104","0.104","0.104","0.098","0.098","0.098","0.022","0.022","0.022"
"12","0.093","0.093","0.093","0.072","0.072","0.072","0.1","0.1","0.1","0.343","0.343","0.343","0.287","0.287","0.287","0.14","0.14","0.14","0.389","0.389","0.389","0.31","0.31","0.31","0.132","0.132","0.132","0.137","0.137","0.137","0.056","0.056","0.056","0.011","0.011","0.011"
"13","0.133","0.133","0.133","0.061","0.061","0.061","0.17","0.17","0.17","0.343","0.343","0.343","0.326","0.326","0.326","0.193","0.193","0.193","0.396","0.396","0.396","0.368","0.368","0.368","0.15","0.15","0.15","0.11","0.11","0.11","0.158","0.158","0.158","0.118","0.118","0.118"
"14","0.093","0.093","0.093","0.092","0.092","0.092","0.075","0.075","0.075","0.347","0.347","0.347","0.352","0.352","0.352","0.182","0.182","0.182","0.409","0.409","0.409","0.347","0.347","0.347","0.282","0.282","0.282","0.115","0.115","0.115","0.152","0.152","0.152","0.23","0.23","0.23"
"15","0.1","0.1","0.1","0.07","0.07","0.07","0.19","0.19","0.19","0.371","0.371","0.371","0.371","0.371","0.371","0.18","0.18","0.18","0.438","0.438","0.438","0.35","0.35","0.35","0.075","0.075","0.075","0.111","0.111","0.111","0.112","0.112","0.112","0.035","0.035","0.035"
"16","0.102","0.102","0.102","0.124","0.124","0.124","0.171","0.171","0.171","0.37","0.37","0.37","0.28","0.28","0.28","0.124","0.124","0.124","0.451","0.451","0.451","0.344","0.344","0.344","0.194","0.194","0.194","0.107","0.107","0.107","0.131","0.131","0.131","0.117","0.117","0.117"
"17","0.105","0.105","0.105","0.085","0.085","0.085","0.155","0.155","0.155","0.372","0.372","0.372","0.354","0.354","0.354","0.227","0.227","0.227","0.397","0.397","0.397","0.33","0.33","0.33","0.222","0.222","0.222","0.105","0.105","0.105","0.085","0.085","0.085","0.109","0.109","0.109"
"18","0.095","0.095","0.095","0.075","0.075","0.075","0.225","0.225","0.225","0.392","0.392","0.392","0.388","0.388","0.388","0.245","0.245","0.245","0.44","0.44","0.44","0.405","0.405","0.405","0.353","0.353","0.353","0.11","0.11","0.11","0.088","0.088","0.088","0.121","0.121","0.121"
"19","0.093","0.093","0.093","0.053","0.053","0.053","0","0","0","0.417","0.417","0.417","0.352","0.352","0.352","0.218","0.218","0.218","0.464","0.464","0.464","0.302","0.302","0.302","0.281","0.281","0.281","0.118","0.118","0.118","0.104","0.104","0.104","0.188","0.188","0.188"
"20","0.095","0.095","0.095","0.078","0.078","0.078","0.12","0.12","0.12","0.409","0.409","0.409","0.361","0.361","0.361","0.291","0.291","0.291","0.471","0.471","0.471","0.414","0.414","0.414","0.293","0.293","0.293","0.174","0.174","0.174","0.156","0.156","0.156","0.064","0.064","0.064"
"21","0.108","0.108","0.108","0.082","0.082","0.082","0.024","0.024","0.024","0.408","0.408","0.408","0.39","0.39","0.39","0.418","0.418","0.418","0.479","0.479","0.479","0.387","0.387","0.387","0.426","0.426","0.426","0.163","0.163","0.163","0.279","0.279","0.279","0.183","0.183","0.183"
"22","0.098","0.098","0.098","0.048","0.048","0.048","0.053","0.053","0.053","0.432","0.432","0.432","0.366","0.366","0.366","0.221","0.221","0.221","0.52","0.52","0.52","0.399","0.399","0.399","0.313","0.313","0.313","0.113","0.113","0.113","0.194","0.194","0.194","0.086","0.086","0.086"
