"Step","IMP31-swat a1.25 iid - conv1","IMP31-swat a1.25 iid - conv1__MIN","IMP31-swat a1.25 iid - conv1__MAX","IMP31-swat a1.25 iid - layer1","IMP31-swat a1.25 iid - layer1__MIN","IMP31-swat a1.25 iid - layer1__MAX","IMP31-swat a1.25 iid - layer3","IMP31-swat a1.25 iid - layer3__MIN","IMP31-swat a1.25 iid - layer3__MAX","IMP31-swat a1.25 iid - layer4","IMP31-swat a1.25 iid - layer4__MIN","IMP31-swat a1.25 iid - layer4__MAX","IMP31-swat a1.25 iid - fc","IMP31-swat a1.25 iid - fc__MIN","IMP31-swat a1.25 iid - fc__MAX","power_swat a1.25 iid - conv1","power_swat a1.25 iid - conv1__MIN","power_swat a1.25 iid - conv1__MAX","power_swat a1.25 iid - layer1","power_swat a1.25 iid - layer1__MIN","power_swat a1.25 iid - layer1__MAX","power_swat a1.25 iid - layer3","power_swat a1.25 iid - layer3__MIN","power_swat a1.25 iid - layer3__MAX","power_swat a1.25 iid - layer4","power_swat a1.25 iid - layer4__MIN","power_swat a1.25 iid - layer4__MAX","power_swat a1.25 iid - fc","power_swat a1.25 iid - fc__MIN","power_swat a1.25 iid - fc__MAX"
"1","0.8103587962962963","0.8103587962962963","0.8103587962962963","0.8097900390625","0.8097900390625","0.8097900390625","0.7537902832031251","0.7537902832031251","0.7537902832031251","0.744702657063802","0.744702657063802","0.744702657063802","0.6998046875","0.6998046875","0.6998046875","0.15769675925925924","0.15769675925925924","0.15769675925925924","0.5095458984375","0.5095458984375","0.5095458984375","0.6632988823784722","0.6632988823784722","0.6632988823784722","0.8365630255805121","0.8365630255805121","0.8365630255805121","0.74779296875","0.74779296875","0.74779296875"
"2","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.07662037037037037","0.07662037037037037","0.07662037037037037","0.44974229600694443","0.44974229600694443","0.44974229600694443","0.6609151204427082","0.6609151204427082","0.6609151204427082","0.8371721055772571","0.8371721055772571","0.8371721055772571","0.7320703125","0.7320703125","0.7320703125"
"3","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.07488425925925923","0.07488425925925923","0.07488425925925923","0.4503200954861111","0.4503200954861111","0.4503200954861111","0.6603827582465277","0.6603827582465277","0.6603827582465277","0.8374215867784287","0.8374215867784287","0.8374215867784287","0.67404296875","0.67404296875","0.67404296875"
"4","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.07488425925925928","0.07488425925925928","0.07488425925925928","0.4510443793402778","0.4510443793402778","0.4510443793402778","0.6604773627387153","0.6604773627387153","0.6604773627387153","0.8374705844455297","0.8374705844455297","0.8374705844455297","0.6250390625","0.6250390625","0.6250390625"
"5","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.07771990740740739","0.07771990740740739","0.07771990740740739","0.45247667100694444","0.45247667100694444","0.45247667100694444","0.6604956732855903","0.6604956732855903","0.6604956732855903","0.8374782986111111","0.8374782986111111","0.8374782986111111","0.61970703125","0.61970703125","0.61970703125"
"6","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.08142361111111109","0.08142361111111109","0.08142361111111109","0.45378689236111114","0.45378689236111114","0.45378689236111114","0.6605200873480902","0.6605200873480902","0.6605200873480902","0.8374821980794269","0.8374821980794269","0.8374821980794269","0.613203125","0.613203125","0.613203125"
"7","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.08535879629629631","0.08535879629629631","0.08535879629629631","0.45457899305555555","0.45457899305555555","0.45457899305555555","0.660531955295139","0.660531955295139","0.660531955295139","0.8374857584635418","0.8374857584635418","0.8374857584635418","0.61115234375","0.61115234375","0.61115234375"
"8","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.08906250000000002","0.08906250000000002","0.08906250000000002","0.45540907118055557","0.45540907118055557","0.45540907118055557","0.660541788736979","0.660541788736979","0.660541788736979","0.83748779296875","0.83748779296875","0.83748779296875","0.6052734375","0.6052734375","0.6052734375"
"9","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.09189814814814815","0.09189814814814815","0.09189814814814815","0.4562337239583334","0.4562337239583334","0.4562337239583334","0.6605506049262154","0.6605506049262154","0.6605506049262154","0.8374910990397135","0.8374910990397135","0.8374910990397135","0.6140234375","0.6140234375","0.6140234375"
"10","0.7037037037037036","0.7037037037037036","0.7037037037037036","0.7014973958333331","0.7014973958333331","0.7014973958333331","0.7014261881510419","0.7014261881510419","0.7014261881510419","0.7020958794487847","0.7020958794487847","0.7020958794487847","0.6998046875","0.6998046875","0.6998046875","0.0953125","0.0953125","0.0953125","0.4571560329861111","0.4571560329861111","0.4571560329861111","0.660565185546875","0.660565185546875","0.660565185546875","0.8374971177842883","0.8374971177842883","0.8374971177842883","0.61296875","0.61296875","0.61296875"
