"Step","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"0","0.1","0.1","0.1","0.1031","0.1031","0.1031","0.1267","0.1267","0.1267","0.1","0.1","0.1","0.0848","0.0848","0.0848","0.0936","0.0936","0.0936","0.0963","0.0963","0.0963","0.1014","0.1014","0.1014","0.0998","0.0998","0.0998","0.0867","0.0867","0.0867","0.1","0.1","0.1","0.0946","0.0946","0.0946"
"1","0.105","0.105","0.105","0.091","0.091","0.091","0.228","0.228","0.228","0.1","0.1","0.1","0.128","0.128","0.128","0.228","0.228","0.228","0.103","0.103","0.103","0.091","0.091","0.091","0.211","0.211","0.211","0.093","0.093","0.093","0.128","0.128","0.128","0.002","0.002","0.002"
"2","0.073","0.073","0.073","0.169","0.169","0.169","0.03","0.03","0.03","0.085","0.085","0.085","0.07","0.07","0.07","0.03","0.03","0.03","0.128","0.128","0.128","0.104","0.104","0.104","0.205","0.205","0.205","0.103","0.103","0.103","0.091","0.091","0.091","0.03","0.03","0.03"
"3","0.119","0.119","0.119","0.103","0.103","0.103","0.146","0.146","0.146","0.178","0.178","0.178","0.142","0.142","0.142","0.238","0.238","0.238","0.168","0.168","0.168","0.197","0.197","0.197","0.025","0.025","0.025","0.091","0.091","0.091","0.171","0.171","0.171","0.238","0.238","0.238"
"4","0.109","0.109","0.109","0.108","0.108","0.108","0.076","0.076","0.076","0.228","0.228","0.228","0.157","0.157","0.157","0.15","0.15","0.15","0.186","0.186","0.186","0.228","0.228","0.228","0.088","0.088","0.088","0.114","0.114","0.114","0.066","0.066","0.066","0.064","0.064","0.064"
"5","0.119","0.119","0.119","0.092","0.092","0.092","0.147","0.147","0.147","0.239","0.239","0.239","0.17","0.17","0.17","0.11","0.11","0.11","0.236","0.236","0.236","0.187","0.187","0.187","0.197","0.197","0.197","0.158","0.158","0.158","0.084","0.084","0.084","0.102","0.102","0.102"
"6","0.093","0.093","0.093","0.122","0.122","0.122","0.061","0.061","0.061","0.266","0.266","0.266","0.24","0.24","0.24","0.13","0.13","0.13","0.224","0.224","0.224","0.228","0.228","0.228","0.034","0.034","0.034","0.171","0.171","0.171","0.178","0.178","0.178","0.061","0.061","0.061"
"7","0.103","0.103","0.103","0.125","0.125","0.125","0.145","0.145","0.145","0.293","0.293","0.293","0.134","0.134","0.134","0.221","0.221","0.221","0.313","0.313","0.313","0.171","0.171","0.171","0.146","0.146","0.146","0.17","0.17","0.17","0.12","0.12","0.12","0.197","0.197","0.197"
"8","0.09","0.09","0.09","0.163","0.163","0.163","0.039","0.039","0.039","0.274","0.274","0.274","0.203","0.203","0.203","0.04","0.04","0.04","0.332","0.332","0.332","0.246","0.246","0.246","0.167","0.167","0.167","0.195","0.195","0.195","0.195","0.195","0.195","0.039","0.039","0.039"
"9","0.108","0.108","0.108","0.119","0.119","0.119","0.229","0.229","0.229","0.273","0.273","0.273","0.303","0.303","0.303","0.279","0.279","0.279","0.338","0.338","0.338","0.238","0.238","0.238","0.211","0.211","0.211","0.205","0.205","0.205","0.169","0.169","0.169","0.229","0.229","0.229"
"10","0.109","0.109","0.109","0.099","0.099","0.099","0.068","0.068","0.068","0.335","0.335","0.335","0.244","0.244","0.244","0.15","0.15","0.15","0.372","0.372","0.372","0.188","0.188","0.188","0.077","0.077","0.077","0.202","0.202","0.202","0.169","0.169","0.169","0.209","0.209","0.209"
