"Step","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"11","0.115","0.115","0.115","0.08","0.08","0.08","0.083","0.083","0.083","0.307","0.307","0.307","0.183","0.183","0.183","0.109","0.109","0.109","0.362","0.362","0.362","0.293","0.293","0.293","0.092","0.092","0.092","0.202","0.202","0.202","0.163","0.163","0.163","0.166","0.166","0.166"
"12","0.096","0.096","0.096","0.187","0.187","0.187","0.095","0.095","0.095","0.343","0.343","0.343","0.287","0.287","0.287","0.14","0.14","0.14","0.376","0.376","0.376","0.398","0.398","0.398","0.248","0.248","0.248","0.255","0.255","0.255","0.164","0.164","0.164","0.095","0.095","0.095"
"13","0.137","0.137","0.137","0.084","0.084","0.084","0.113","0.113","0.113","0.343","0.343","0.343","0.326","0.326","0.326","0.193","0.193","0.193","0.407","0.407","0.407","0.324","0.324","0.324","0.152","0.152","0.152","0.248","0.248","0.248","0.267","0.267","0.267","0.11","0.11","0.11"
"14","0.1","0.1","0.1","0.175","0.175","0.175","0.024","0.024","0.024","0.347","0.347","0.347","0.352","0.352","0.352","0.182","0.182","0.182","0.396","0.396","0.396","0.254","0.254","0.254","0.208","0.208","0.208","0.228","0.228","0.228","0.203","0.203","0.203","0.038","0.038","0.038"
"15","0.104","0.104","0.104","0.088","0.088","0.088","0.206","0.206","0.206","0.371","0.371","0.371","0.371","0.371","0.371","0.18","0.18","0.18","0.453","0.453","0.453","0.398","0.398","0.398","0.057","0.057","0.057","0.283","0.283","0.283","0.251","0.251","0.251","0.195","0.195","0.195"
"16","0.125","0.125","0.125","0.155","0.155","0.155","0.072","0.072","0.072","0.37","0.37","0.37","0.28","0.28","0.28","0.124","0.124","0.124","0.438","0.438","0.438","0.387","0.387","0.387","0.206","0.206","0.206","0.25","0.25","0.25","0.175","0.175","0.175","0.034","0.034","0.034"
"17","0.127","0.127","0.127","0.112","0.112","0.112","0.215","0.215","0.215","0.372","0.372","0.372","0.354","0.354","0.354","0.227","0.227","0.227","0.443","0.443","0.443","0.364","0.364","0.364","0.191","0.191","0.191","0.246","0.246","0.246","0.263","0.263","0.263","0.203","0.203","0.203"
"18","0.107","0.107","0.107","0.16","0.16","0.16","0.142","0.142","0.142","0.392","0.392","0.392","0.388","0.388","0.388","0.245","0.245","0.245","0.49","0.49","0.49","0.365","0.365","0.365","0.349","0.349","0.349","0.28","0.28","0.28","0.281","0.281","0.281","0.402","0.402","0.402"
"19","0.129","0.129","0.129","0.098","0.098","0.098","0.004","0.004","0.004","0.417","0.417","0.417","0.352","0.352","0.352","0.218","0.218","0.218","0.479","0.479","0.479","0.323","0.323","0.323","0.336","0.336","0.336","0.284","0.284","0.284","0.184","0.184","0.184","0.031","0.031","0.031"
"20","0.118","0.118","0.118","0.142","0.142","0.142","0.206","0.206","0.206","0.409","0.409","0.409","0.361","0.361","0.361","0.291","0.291","0.291","0.485","0.485","0.485","0.393","0.393","0.393","0.331","0.331","0.331","0.277","0.277","0.277","0.237","0.237","0.237","0.201","0.201","0.201"
"21","0.148","0.148","0.148","0.152","0.152","0.152","0.235","0.235","0.235","0.408","0.408","0.408","0.39","0.39","0.39","0.418","0.418","0.418","0.512","0.512","0.512","0.41","0.41","0.41","0.428","0.428","0.428","0.271","0.271","0.271","0.303","0.303","0.303","0.293","0.293","0.293"
"22","0.164","0.164","0.164","0.143","0.143","0.143","0.039","0.039","0.039","0.432","0.432","0.432","0.366","0.366","0.366","0.221","0.221","0.221","0.508","0.508","0.508","0.384","0.384","0.384","0.321","0.321","0.321","0.315","0.315","0.315","0.276","0.276","0.276","0.152","0.152","0.152"
"23","0.184","0.184","0.184","0.182","0.182","0.182","0.121","0.121","0.121","0.379","0.379","0.379","0.377","0.377","0.377","0.131","0.131","0.131","0.484","0.484","0.484","0.434","0.434","0.434","0.24","0.24","0.24","0.31","0.31","0.31","0.28","0.28","0.28","0.119","0.119","0.119"
"24","0.124","0.124","0.124","0.151","0.151","0.151","0.051","0.051","0.051","0.417","0.417","0.417","0.4","0.4","0.4","0.085","0.085","0.085","0.521","0.521","0.521","0.387","0.387","0.387","0.273","0.273","0.273","0.335","0.335","0.335","0.312","0.312","0.312","0.052","0.052","0.052"
"25","0.135","0.135","0.135","0.222","0.222","0.222","0.266","0.266","0.266","0.439","0.439","0.439","0.397","0.397","0.397","0.201","0.201","0.201","0.512","0.512","0.512","0.433","0.433","0.433","0.315","0.315","0.315","0.282","0.282","0.282","0.281","0.281","0.281","0.059","0.059","0.059"
"26","0.154","0.154","0.154","0.177","0.177","0.177","0.139","0.139","0.139","0.449","0.449","0.449","0.422","0.422","0.422","0.228","0.228","0.228","0.546","0.546","0.546","0.434","0.434","0.434","0.326","0.326","0.326","0.302","0.302","0.302","0.306","0.306","0.306","0.156","0.156","0.156"
"27","0.13100000000000003","0.13100000000000003","0.13100000000000003","0.184","0.184","0.184","0.127","0.127","0.127","0.437","0.437","0.437","0.407","0.407","0.407","0.399","0.399","0.399","0.573","0.573","0.573","0.487","0.487","0.487","0.21","0.21","0.21","0.319","0.319","0.319","0.255","0.255","0.255","0.14","0.14","0.14"
"28","0.145","0.145","0.145","0.168","0.168","0.168","0.212","0.212","0.212","0.446","0.446","0.446","0.457","0.457","0.457","0.356","0.356","0.356","0.54","0.54","0.54","0.48","0.48","0.48","0.244","0.244","0.244","0.315","0.315","0.315","0.32","0.32","0.32","0.272","0.272","0.272"
"29","0.185","0.185","0.185","0.185","0.185","0.185","0.221","0.221","0.221","0.453","0.453","0.453","0.434","0.434","0.434","0.263","0.263","0.263","0.554","0.554","0.554","0.433","0.433","0.433","0.415","0.415","0.415","0.35","0.35","0.35","0.34","0.34","0.34","0.226","0.226","0.226"
"30","0.197","0.197","0.197","0.15","0.15","0.15","0.178","0.178","0.178","0.443","0.443","0.443","0.407","0.407","0.407","0.202","0.202","0.202","0.575","0.575","0.575","0.446","0.446","0.446","0.388","0.388","0.388","0.355","0.355","0.355","0.269","0.269","0.269","0.177","0.177","0.177"
"31","0.183","0.183","0.183","0.185","0.185","0.185","0.243","0.243","0.243","0.451","0.451","0.451","0.424","0.424","0.424","0.317","0.317","0.317","0.581","0.581","0.581","0.491","0.491","0.491","0.391","0.391","0.391","0.333","0.333","0.333","0.338","0.338","0.338","0.176","0.176","0.176"
"32","0.164","0.164","0.164","0.157","0.157","0.157","0.093","0.093","0.093","0.427","0.427","0.427","0.453","0.453","0.453","0.077","0.077","0.077","0.576","0.576","0.576","0.458","0.458","0.458","0.347","0.347","0.347","0.346","0.346","0.346","0.352","0.352","0.352","0.048","0.048","0.048"
"33","0.207","0.207","0.207","0.144","0.144","0.144","0.194","0.194","0.194","0.469","0.469","0.469","0.466","0.466","0.466","0.464","0.464","0.464","0.6","0.6","0.6","0.555","0.555","0.555","0.294","0.294","0.294","0.345","0.345","0.345","0.401","0.401","0.401","0.201","0.201","0.201"
"34","0.165","0.165","0.165","0.211","0.211","0.211","0.128","0.128","0.128","0.481","0.481","0.481","0.389","0.389","0.389","0.288","0.288","0.288","0.635","0.635","0.635","0.481","0.481","0.481","0.333","0.333","0.333","0.352","0.352","0.352","0.299","0.299","0.299","0.153","0.153","0.153"
"35","0.174","0.174","0.174","0.15","0.15","0.15","0.231","0.231","0.231","0.481","0.481","0.481","0.485","0.485","0.485","0.357","0.357","0.357","0.631","0.631","0.631","0.486","0.486","0.486","0.413","0.413","0.413","0.33","0.33","0.33","0.351","0.351","0.351","0.2","0.2","0.2"
"36","0.156","0.156","0.156","0.193","0.193","0.193","0.127","0.127","0.127","0.509","0.509","0.509","0.46","0.46","0.46","0.318","0.318","0.318","0.612","0.612","0.612","0.529","0.529","0.529","0.44","0.44","0.44","0.375","0.375","0.375","0.368","0.368","0.368","0.164","0.164","0.164"
"37","0.203","0.203","0.203","0.069","0.069","0.069","0.244","0.244","0.244","0.476","0.476","0.476","0.428","0.428","0.428","0.302","0.302","0.302","0.607","0.607","0.607","0.519","0.519","0.519","0.499","0.499","0.499","0.367","0.367","0.367","0.285","0.285","0.285","0.233","0.233","0.233"
"38","0.189","0.189","0.189","0.092","0.092","0.092","0.055","0.055","0.055","0.477","0.477","0.477","0.432","0.432","0.432","0.314","0.314","0.314","0.582","0.582","0.582","0.531","0.531","0.531","0.401","0.401","0.401","0.389","0.389","0.389","0.335","0.335","0.335","0.211","0.211","0.211"
"39","0.183","0.183","0.183","0.136","0.136","0.136","0.164","0.164","0.164","0.514","0.514","0.514","0.449","0.449","0.449","0.323","0.323","0.323","0.65","0.65","0.65","0.555","0.555","0.555","0.193","0.193","0.193","0.353","0.353","0.353","0.37","0.37","0.37","0.214","0.214","0.214"
"40","0.22","0.22","0.22","0.168","0.168","0.168","0.206","0.206","0.206","0.482","0.482","0.482","0.437","0.437","0.437","0.293","0.293","0.293","0.57","0.57","0.57","0.532","0.532","0.532","0.176","0.176","0.176","0.387","0.387","0.387","0.266","0.266","0.266","0.193","0.193","0.193"
"41","0.226","0.226","0.226","0.155","0.155","0.155","0.129","0.129","0.129","0.491","0.491","0.491","0.47","0.47","0.47","0.345","0.345","0.345","0.612","0.612","0.612","0.481","0.481","0.481","0.38","0.38","0.38","0.404","0.404","0.404","0.369","0.369","0.369","0.143","0.143","0.143"
"42","0.247","0.247","0.247","0.125","0.125","0.125","0.134","0.134","0.134","0.561","0.561","0.561","0.517","0.517","0.517","0.281","0.281","0.281","0.7","0.7","0.7","0.574","0.574","0.574","0.36","0.36","0.36","0.384","0.384","0.384","0.306","0.306","0.306","0.177","0.177","0.177"
"43","0.181","0.181","0.181","0.202","0.202","0.202","0.148","0.148","0.148","0.498","0.498","0.498","0.508","0.508","0.508","0.324","0.324","0.324","0.654","0.654","0.654","0.577","0.577","0.577","0.39","0.39","0.39","0.397","0.397","0.397","0.355","0.355","0.355","0.103","0.103","0.103"
"44","0.219","0.219","0.219","0.107","0.107","0.107","0.118","0.118","0.118","0.534","0.534","0.534","0.511","0.511","0.511","0.154","0.154","0.154","0.66","0.66","0.66","0.586","0.586","0.586","0.419","0.419","0.419","0.402","0.402","0.402","0.367","0.367","0.367","0.082","0.082","0.082"
"45","0.145","0.145","0.145","0.136","0.136","0.136","0.217","0.217","0.217","0.508","0.508","0.508","0.419","0.419","0.419","0.333","0.333","0.333","0.623","0.623","0.623","0.547","0.547","0.547","0.442","0.442","0.442","0.388","0.388","0.388","0.33","0.33","0.33","0.185","0.185","0.185"
"46","0.219","0.219","0.219","0.14","0.14","0.14","0.095","0.095","0.095","0.511","0.511","0.511","0.539","0.539","0.539","0.231","0.231","0.231","0.665","0.665","0.665","0.573","0.573","0.573","0.375","0.375","0.375","0.394","0.394","0.394","0.394","0.394","0.394","0.15","0.15","0.15"
"47","0.189","0.189","0.189","0.211","0.211","0.211","0.397","0.397","0.397","0.516","0.516","0.516","0.451","0.451","0.451","0.478","0.478","0.478","0.685","0.685","0.685","0.625","0.625","0.625","0.461","0.461","0.461","0.409","0.409","0.409","0.342","0.342","0.342","0.383","0.383","0.383"
"48","0.138","0.138","0.138","0.082","0.082","0.082","0.149","0.149","0.149","0.505","0.505","0.505","0.488","0.488","0.488","0.334","0.334","0.334","0.674","0.674","0.674","0.492","0.492","0.492","0.563","0.563","0.563","0.451","0.451","0.451","0.324","0.324","0.324","0.255","0.255","0.255"
"49","0.17","0.17","0.17","0.207","0.207","0.207","0.356","0.356","0.356","0.556","0.556","0.556","0.516","0.516","0.516","0.392","0.392","0.392","0.685","0.685","0.685","0.575","0.575","0.575","0.5","0.5","0.5","0.366","0.366","0.366","0.352","0.352","0.352","0.368","0.368","0.368"
"50","0.14","0.14","0.14","0.169","0.169","0.169","0.179","0.179","0.179","0.535","0.535","0.535","0.462","0.462","0.462","0.366","0.366","0.366","0.678","0.678","0.678","0.606","0.606","0.606","0.431","0.431","0.431","0.369","0.369","0.369","0.388","0.388","0.388","0.188","0.188","0.188"
"51","0.161","0.161","0.161","0.209","0.209","0.209","0.288","0.288","0.288","0.556","0.556","0.556","0.501","0.501","0.501","0.449","0.449","0.449","0.712","0.712","0.712","0.629","0.629","0.629","0.511","0.511","0.511","0.41","0.41","0.41","0.34","0.34","0.34","0.36","0.36","0.36"
"52","0.126","0.126","0.126","0.156","0.156","0.156","0.161","0.161","0.161","0.502","0.502","0.502","0.488","0.488","0.488","0.347","0.347","0.347","0.678","0.678","0.678","0.633","0.633","0.633","0.518","0.518","0.518","0.396","0.396","0.396","0.366","0.366","0.366","0.207","0.207","0.207"
"53","0.205","0.205","0.205","0.147","0.147","0.147","0.272","0.272","0.272","0.535","0.535","0.535","0.518","0.518","0.518","0.442","0.442","0.442","0.672","0.672","0.672","0.574","0.574","0.574","0.511","0.511","0.511","0.419","0.419","0.419","0.399","0.399","0.399","0.258","0.258","0.258"
"54","0.13","0.13","0.13","0.205","0.205","0.205","0.254","0.254","0.254","0.549","0.549","0.549","0.502","0.502","0.502","0.415","0.415","0.415","0.722","0.722","0.722","0.583","0.583","0.583","0.523","0.523","0.523","0.42","0.42","0.42","0.379","0.379","0.379","0.267","0.267","0.267"
"55","0.133","0.133","0.133","0.222","0.222","0.222","0.167","0.167","0.167","0.573","0.573","0.573","0.493","0.493","0.493","0.36","0.36","0.36","0.723","0.723","0.723","0.563","0.563","0.563","0.481","0.481","0.481","0.442","0.442","0.442","0.382","0.382","0.382","0.206","0.206","0.206"
"56","0.203","0.203","0.203","0.225","0.225","0.225","0.3","0.3","0.3","0.56","0.56","0.56","0.493","0.493","0.493","0.401","0.401","0.401","0.724","0.724","0.724","0.637","0.637","0.637","0.331","0.331","0.331","0.408","0.408","0.408","0.377","0.377","0.377","0.291","0.291","0.291"
"57","0.246","0.246","0.246","0.229","0.229","0.229","0.347","0.347","0.347","0.567","0.567","0.567","0.482","0.482","0.482","0.452","0.452","0.452","0.657","0.657","0.657","0.643","0.643","0.643","0.44","0.44","0.44","0.426","0.426","0.426","0.383","0.383","0.383","0.37","0.37","0.37"
"58","0.29","0.29","0.29","0.15","0.15","0.15","0.209","0.209","0.209","0.567","0.567","0.567","0.507","0.507","0.507","0.248","0.248","0.248","0.686","0.686","0.686","0.657","0.657","0.657","0.404","0.404","0.404","0.429","0.429","0.429","0.336","0.336","0.336","0.206","0.206","0.206"
"59","0.202","0.202","0.202","0.205","0.205","0.205","0.278","0.278","0.278","0.584","0.584","0.584","0.508","0.508","0.508","0.352","0.352","0.352","0.701","0.701","0.701","0.648","0.648","0.648","0.367","0.367","0.367","0.415","0.415","0.415","0.329","0.329","0.329","0.252","0.252","0.252"
"60","0.181","0.181","0.181","0.277","0.277","0.277","0.272","0.272","0.272","0.622","0.622","0.622","0.535","0.535","0.535","0.401","0.401","0.401","0.727","0.727","0.727","0.681","0.681","0.681","0.582","0.582","0.582","0.433","0.433","0.433","0.397","0.397","0.397","0.291","0.291","0.291"
"61","0.235","0.235","0.235","0.187","0.187","0.187","0.358","0.358","0.358","0.56","0.56","0.56","0.559","0.559","0.559","0.456","0.456","0.456","0.7","0.7","0.7","0.603","0.603","0.603","0.432","0.432","0.432","0.442","0.442","0.442","0.377","0.377","0.377","0.335","0.335","0.335"
"62","0.161","0.161","0.161","0.122","0.122","0.122","0.286","0.286","0.286","0.581","0.581","0.581","0.517","0.517","0.517","0.397","0.397","0.397","0.711","0.711","0.711","0.679","0.679","0.679","0.372","0.372","0.372","0.415","0.415","0.415","0.407","0.407","0.407","0.327","0.327","0.327"
"63","0.198","0.198","0.198","0.254","0.254","0.254","0.21","0.21","0.21","0.576","0.576","0.576","0.55","0.55","0.55","0.374","0.374","0.374","0.727","0.727","0.727","0.69","0.69","0.69","0.345","0.345","0.345","0.456","0.456","0.456","0.387","0.387","0.387","0.204","0.204","0.204"
"64","0.256","0.256","0.256","0.219","0.219","0.219","0.252","0.252","0.252","0.584","0.584","0.584","0.547","0.547","0.547","0.347","0.347","0.347","0.716","0.716","0.716","0.668","0.668","0.668","0.64","0.64","0.64","0.455","0.455","0.455","0.407","0.407","0.407","0.227","0.227","0.227"
"65","0.199","0.199","0.199","0.173","0.173","0.173","0.25","0.25","0.25","0.606","0.606","0.606","0.563","0.563","0.563","0.42","0.42","0.42","0.752","0.752","0.752","0.687","0.687","0.687","0.607","0.607","0.607","0.484","0.484","0.484","0.427","0.427","0.427","0.261","0.261","0.261"
"66","0.24","0.24","0.24","0.212","0.212","0.212","0.295","0.295","0.295","0.626","0.626","0.626","0.576","0.576","0.576","0.499","0.499","0.499","0.705","0.705","0.705","0.674","0.674","0.674","0.619","0.619","0.619","0.482","0.482","0.482","0.421","0.421","0.421","0.291","0.291","0.291"
"67","0.283","0.283","0.283","0.2","0.2","0.2","0.135","0.135","0.135","0.623","0.623","0.623","0.57","0.57","0.57","0.294","0.294","0.294","0.745","0.745","0.745","0.685","0.685","0.685","0.435","0.435","0.435","0.481","0.481","0.481","0.363","0.363","0.363","0.168","0.168","0.168"
"68","0.282","0.282","0.282","0.216","0.216","0.216","0.156","0.156","0.156","0.622","0.622","0.622","0.55","0.55","0.55","0.211","0.211","0.211","0.758","0.758","0.758","0.668","0.668","0.668","0.569","0.569","0.569","0.471","0.471","0.471","0.39","0.39","0.39","0.145","0.145","0.145"
"69","0.311","0.311","0.311","0.184","0.184","0.184","0.293","0.293","0.293","0.635","0.635","0.635","0.578","0.578","0.578","0.391","0.391","0.391","0.712","0.712","0.712","0.62","0.62","0.62","0.522","0.522","0.522","0.46","0.46","0.46","0.31","0.31","0.31","0.268","0.268","0.268"
